"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"31/01/2022","8.725","8.675","8.750","8.575","12,00M","0,58%"
"28/01/2022","8.675","8.700","8.800","8.575","3,08M","-0,29%"
"27/01/2022","8.700","8.750","8.800","8.650","1,60M","-0,57%"
"26/01/2022","8.750","8.775","8.825","8.725","3,21M","0,00%"
"25/01/2022","8.750","8.600","8.775","8.600","5,19M","1,74%"
"24/01/2022","8.600","8.675","8.725","8.575","2,23M","-0,86%"
"21/01/2022","8.675","8.550","8.725","8.550","8,29M","1,76%"
"20/01/2022","8.525","8.725","8.750","8.525","9,53M","-2,57%"
"19/01/2022","8.750","8.775","8.775","8.650","2,88M","-0,28%"
"18/01/2022","8.775","8.775","8.775","8.700","3,04M","0,00%"
"17/01/2022","8.775","8.750","8.800","8.725","3,36M","0,29%"
"14/01/2022","8.750","8.775","8.825","8.725","1,87M","-0,28%"
"13/01/2022","8.775","8.725","8.825","8.700","2,37M","0,29%"
"12/01/2022","8.750","8.725","8.825","8.700","2,58M","0,57%"
"11/01/2022","8.700","8.850","8.850","8.650","3,69M","-1,69%"
"10/01/2022","8.850","8.900","8.975","8.825","3,46M","-0,28%"
"07/01/2022","8.875","8.800","8.950","8.775","6,27M","0,28%"
"06/01/2022","8.850","8.825","8.850","8.725","1,98M","0,28%"
"05/01/2022","8.825","8.750","8.825","8.675","3,13M","0,57%"
"04/01/2022","8.775","8.650","8.850","8.625","4,45M","1,74%"
"03/01/2022","8.625","8.675","8.725","8.600","2,45M","-0,86%"
