"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"30/12/2021","4.110","4.080","4.140","4.060","146,99M","0,74%"
"29/12/2021","4.080","4.090","4.100","4.070","27,68M","-0,24%"
"28/12/2021","4.090","4.090","4.110","4.070","52,95M","0,74%"
"27/12/2021","4.060","4.070","4.110","4.060","65,49M","-0,25%"
"24/12/2021","4.070","4.100","4.120","4.050","59,80M","-0,73%"
"23/12/2021","4.100","4.090","4.110","4.060","72,74M","1,23%"
"22/12/2021","4.050","4.100","4.110","4.050","104,74M","-0,74%"
"21/12/2021","4.080","4.100","4.120","4.080","109,56M","-0,97%"
"20/12/2021","4.120","4.070","4.130","4.060","89,20M","0,24%"
"17/12/2021","4.110","4.090","4.140","4.090","153,16M","-0,72%"
"16/12/2021","4.140","4.220","4.220","4.120","136,65M","-1,43%"
"15/12/2021","4.200","4.150","4.230","4.140","124,52M","1,69%"
"14/12/2021","4.130","4.150","4.160","4.130","100,11M","-0,72%"
"13/12/2021","4.160","4.170","4.200","4.160","86,85M","0,73%"
"10/12/2021","4.130","4.130","4.160","4.130","123,00M","-1,43%"
"09/12/2021","4.190","4.220","4.220","4.160","90,47M","-0,48%"
"08/12/2021","4.210","4.250","4.250","4.170","143,23M","-0,47%"
"07/12/2021","4.230","4.190","4.230","4.160","182,05M","2,92%"
"06/12/2021","4.110","4.200","4.220","4.110","106,61M","-1,44%"
"03/12/2021","4.170","4.210","4.220","4.170","93,23M","-0,71%"
"02/12/2021","4.200","4.060","4.220","4.060","139,28M","2,94%"
"01/12/2021","4.080","4.090","4.180","4.070","163,46M","-0,24%"
"30/11/2021","4.090","4.150","4.220","4.090","316,65M","-1,92%"
"29/11/2021","4.170","4.150","4.190","4.080","164,31M","0,24%"
"26/11/2021","4.160","4.190","4.220","4.150","148,65M","-1,42%"
"25/11/2021","4.220","4.180","4.250","4.180","123,61M","0,24%"
"24/11/2021","4.210","4.200","4.230","4.190","111,07M","0,00%"
"23/11/2021","4.210","4.280","4.280","4.200","104,29M","-1,64%"
"22/11/2021","4.280","4.310","4.310","4.250","151,51M","0,00%"
"19/11/2021","4.280","4.220","4.290","4.220","182,17M","2,39%"
"18/11/2021","4.180","4.150","4.190","4.140","114,88M","-0,48%"
"17/11/2021","4.200","4.170","4.200","4.160","126,52M","1,69%"
"16/11/2021","4.130","4.120","4.170","4.120","163,56M","-0,72%"
"15/11/2021","4.160","4.220","4.220","4.140","220,14M","-1,42%"
"12/11/2021","4.220","4.270","4.290","4.210","80,23M","-0,71%"
"11/11/2021","4.250","4.290","4.300","4.230","149,64M","0,00%"
"10/11/2021","4.250","4.230","4.260","4.210","69,48M","0,00%"
"09/11/2021","4.250","4.230","4.250","4.220","92,45M","0,47%"
"08/11/2021","4.230","4.250","4.260","4.220","79,47M","-0,24%"
"05/11/2021","4.240","4.270","4.270","4.210","74,35M","-0,24%"
"04/11/2021","4.250","4.330","4.340","4.250","119,59M","-0,93%"
"03/11/2021","4.290","4.250","4.300","4.210","100,49M","1,90%"
"02/11/2021","4.210","4.270","4.270","4.210","124,80M","-0,47%"
"01/11/2021","4.230","4.330","4.330","4.220","102,08M","-0,47%"
"29/10/2021","4.250","4.300","4.300","4.220","155,01M","0,24%"
"28/10/2021","4.240","4.210","4.300","4.200","159,64M","-1,17%"
"27/10/2021","4.290","4.330","4.340","4.260","258,04M","-1,38%"
"26/10/2021","4.350","4.280","4.370","4.270","108,78M","1,16%"
"25/10/2021","4.300","4.330","4.370","4.300","128,24M","-2,27%"
"22/10/2021","4.400","4.340","4.400","4.320","160,46M","0,92%"
"21/10/2021","4.360","4.450","4.460","4.320","319,23M","-0,91%"
"19/10/2021","4.400","4.450","4.450","4.360","161,26M","-0,23%"
"18/10/2021","4.410","4.350","4.410","4.340","286,83M","2,08%"
"15/10/2021","4.320","4.250","4.330","4.220","318,19M","1,65%"
"14/10/2021","4.250","4.280","4.350","4.230","196,99M","-0,70%"
"13/10/2021","4.280","4.230","4.300","4.220","264,63M","1,42%"
"12/10/2021","4.220","4.180","4.240","4.180","241,20M","0,96%"
"11/10/2021","4.180","4.160","4.200","4.130","146,72M","0,48%"
"08/10/2021","4.160","4.190","4.240","4.130","196,63M","0,97%"
"07/10/2021","4.120","4.150","4.170","4.070","264,90M","0,00%"
"06/10/2021","4.120","3.920","4.150","3.920","446,71M","4,83%"
"05/10/2021","3.930","3.950","3.980","3.910","236,56M","-1,01%"
"04/10/2021","3.970","3.900","4.010","3.890","335,76M","1,79%"
"01/10/2021","3.900","3.850","3.920","3.830","359,86M","1,30%"
"30/09/2021","3.850","3.760","3.870","3.750","416,10M","2,94%"
"29/09/2021","3.740","3.720","3.750","3.690","143,08M","0,54%"
"28/09/2021","3.720","3.770","3.770","3.690","306,83M","-0,80%"
"27/09/2021","3.750","3.770","3.800","3.730","380,15M","-1,83%"
"24/09/2021","3.820","3.790","3.860","3.770","634,55M","1,33%"
"23/09/2021","3.770","3.600","3.770","3.590","432,39M","4,43%"
"22/09/2021","3.610","3.520","3.650","3.520","416,09M","1,12%"
"21/09/2021","3.570","3.510","3.580","3.500","410,53M","-0,56%"
"20/09/2021","3.590","3.590","3.590","3.510","357,97M","-0,55%"
"17/09/2021","3.610","3.630","3.640","3.570","346,53M","-0,82%"
"16/09/2021","3.640","3.650","3.660","3.610","194,78M","-0,55%"
"15/09/2021","3.660","3.670","3.670","3.620","263,54M","-1,08%"
"14/09/2021","3.700","3.720","3.730","3.660","216,36M","0,00%"
"13/09/2021","3.700","3.710","3.750","3.660","169,82M","-2,12%"
