"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"30/12/2021","4.040","4.130","4.130","4.040","50,58M","-0,98%"
"29/12/2021","4.080","4.100","4.130","4.080","25,60M","-0,24%"
"28/12/2021","4.090","4.080","4.130","4.050","39,44M","0,25%"
"27/12/2021","4.080","4.150","4.150","4.070","30,75M","-0,73%"
"24/12/2021","4.110","4.160","4.170","4.100","29,08M","-1,20%"
"23/12/2021","4.160","4.110","4.160","4.100","54,51M","1,22%"
"22/12/2021","4.110","4.160","4.170","4.110","50,57M","-1,20%"
"21/12/2021","4.160","4.110","4.190","4.100","98,04M","1,96%"
"20/12/2021","4.080","4.070","4.110","4.040","72,79M","-0,49%"
"17/12/2021","4.100","4.010","4.100","4.010","149,62M","0,00%"
"16/12/2021","4.100","4.110","4.150","4.060","98,16M","0,49%"
"15/12/2021","4.080","4.060","4.140","4.060","84,42M","-0,49%"
"14/12/2021","4.100","4.120","4.120","4.070","75,74M","0,49%"
"13/12/2021","4.080","4.150","4.150","4.080","65,53M","-1,69%"
"10/12/2021","4.150","4.070","4.150","4.070","90,73M","0,00%"
"09/12/2021","4.150","4.090","4.150","4.080","86,99M","1,47%"
"08/12/2021","4.090","4.100","4.120","4.010","113,85M","-1,45%"
"07/12/2021","4.150","4.180","4.200","4.120","121,54M","-0,48%"
"06/12/2021","4.170","4.060","4.250","4.050","106,76M","2,46%"
"03/12/2021","4.070","4.130","4.180","4.050","96,76M","-2,16%"
"02/12/2021","4.160","4.140","4.190","4.100","116,09M","1,96%"
"01/12/2021","4.080","4.040","4.150","4.020","200,70M","2,26%"
"30/11/2021","3.990","4.150","4.170","3.990","435,80M","-3,62%"
"29/11/2021","4.140","4.010","4.170","3.980","228,77M","3,24%"
"26/11/2021","4.010","4.040","4.050","3.970","231,87M","0,25%"
"25/11/2021","4.000","3.880","4.090","3.850","264,90M","5,26%"
"24/11/2021","3.800","3.840","3.840","3.790","67,30M","0,00%"
